timestamp,eventType,value
1.083,session_start,sessionId=20260630_140909;participantId=P00;trial=0;condition=TRADITIONAL;reason=start;elapsed=0.000
1.083,condition_active,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=active;elapsed=0.000
1.083,trial_start,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=start;elapsed=0.000
1.083,script_start,duration=10.600
1.089,script_start,duration=10.600
7.682,trial_stop,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=manual_stop;elapsed=6.599
7.682,script_stop,reason=trial_stop;elapsed=6.593
7.682,session_stop,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=manual_stop;elapsed=6.599
9.835,session_start,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=start;elapsed=0.000
9.835,condition_active,sessionId=20260630_140909;participantId=P00;trial=2;condition=TRADITIONAL;reason=active;elapsed=0.000
9.835,trial_start,sessionId=20260630_140909;participantId=P00;trial=2;condition=TRADITIONAL;reason=start;elapsed=0.000
9.835,script_start,duration=10.600
9.838,script_start,duration=10.600
18.330,trial_stop,sessionId=20260630_140909;participantId=P00;trial=2;condition=TRADITIONAL;reason=manual_stop;elapsed=8.496
18.330,script_stop,reason=trial_stop;elapsed=8.492
18.330,session_stop,sessionId=20260630_140909;participantId=P00;trial=2;condition=TRADITIONAL;reason=manual_stop;elapsed=8.496
37.762,session_start,sessionId=20260630_140909;participantId=P00;trial=2;condition=TRADITIONAL;reason=start;elapsed=0.000
37.762,condition_active,sessionId=20260630_140909;participantId=P00;trial=3;condition=TRADITIONAL;reason=active;elapsed=0.000
37.762,trial_start,sessionId=20260630_140909;participantId=P00;trial=3;condition=TRADITIONAL;reason=start;elapsed=0.000
37.762,script_start,duration=10.600
37.765,script_start,duration=10.600
40.381,condition,DIRECTION_ONLY
46.062,condition,DIRECTION_DISTANCE
48.367,script_loop,duration=10.600
58.968,script_loop,duration=10.600
59.731,condition,DIRECTION_DISTANCE_SPEAKING
67.763,trial_stop,sessionId=20260630_140909;participantId=P00;trial=3;condition=TRADITIONAL;reason=auto_next;elapsed=30.001
67.763,script_stop,reason=trial_stop;elapsed=8.795
67.763,condition,DIRECTION_ONLY
67.763,condition_active,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_ONLY;reason=active;elapsed=0.000
67.763,trial_start,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_ONLY;reason=start;elapsed=0.000
67.763,script_start,duration=10.600
67.766,script_start,duration=10.600
68.804,condition,FULL_SCENE_TOKEN
78.367,script_loop,duration=10.600
88.967,script_loop,duration=10.600
89.533,trial_stop,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_ONLY;reason=manual_stop;elapsed=21.770
89.533,script_stop,reason=trial_stop;elapsed=0.566
89.533,session_stop,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_ONLY;reason=manual_stop;elapsed=21.770
95.287,session_start,sessionId=20260630_140909;participantId=P00;trial=0;condition=TRADITIONAL;reason=start;elapsed=0.000
95.287,condition,TRADITIONAL
95.287,condition_active,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=active;elapsed=0.000
95.287,trial_start,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=start;elapsed=0.000
95.287,script_start,duration=10.600
95.291,script_start,duration=10.600
105.891,script_loop,duration=10.600
116.492,script_loop,duration=10.600
125.287,trial_stop,sessionId=20260630_140909;participantId=P00;trial=1;condition=TRADITIONAL;reason=auto_next;elapsed=30.000
125.287,script_stop,reason=trial_stop;elapsed=8.796
125.287,condition,DIRECTION_ONLY
125.287,condition_active,sessionId=20260630_140909;participantId=P00;trial=2;condition=DIRECTION_ONLY;reason=active;elapsed=0.000
125.287,trial_start,sessionId=20260630_140909;participantId=P00;trial=2;condition=DIRECTION_ONLY;reason=start;elapsed=0.000
125.287,script_start,duration=10.600
125.291,script_start,duration=10.600
135.891,script_loop,duration=10.600
146.494,script_loop,duration=10.600
155.288,trial_stop,sessionId=20260630_140909;participantId=P00;trial=2;condition=DIRECTION_ONLY;reason=auto_next;elapsed=30.001
155.288,script_stop,reason=trial_stop;elapsed=8.794
155.288,condition,DIRECTION_DISTANCE
155.288,condition_active,sessionId=20260630_140909;participantId=P00;trial=3;condition=DIRECTION_DISTANCE;reason=active;elapsed=0.000
155.288,trial_start,sessionId=20260630_140909;participantId=P00;trial=3;condition=DIRECTION_DISTANCE;reason=start;elapsed=0.000
155.288,script_start,duration=10.600
155.292,script_start,duration=10.600
165.892,script_loop,duration=10.600
176.493,script_loop,duration=10.600
185.289,trial_stop,sessionId=20260630_140909;participantId=P00;trial=3;condition=DIRECTION_DISTANCE;reason=auto_next;elapsed=30.001
185.289,script_stop,reason=trial_stop;elapsed=8.796
185.289,condition,DIRECTION_DISTANCE_SPEAKING
185.289,condition_active,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_DISTANCE_SPEAKING;reason=active;elapsed=0.000
185.289,trial_start,sessionId=20260630_140909;participantId=P00;trial=4;condition=DIRECTION_DISTANCE_SPEAKING;reason=start;elapsed=0.000
185.289,script_start,duration=10.600
185.292,script_start,duration=10.600
