timestamp,condition,tokensPerSecond,jsonBytesPerSecond,compactBytesPerSecond,objectMetadataBytesPerSecond,compactSavingsRatio
1.139,TRADITIONAL,1.10,89.49,9.94,18.78,0.4706
2.144,TRADITIONAL,29.83,2416.51,268.50,507.17,0.4706
3.152,TRADITIONAL,29.79,2404.04,268.11,506.43,0.4706
4.159,TRADITIONAL,29.78,2329.40,267.98,506.18,0.4706
5.165,TRADITIONAL,29.82,2395.22,268.34,506.87,0.4706
6.172,TRADITIONAL,29.78,2385.74,268.06,506.34,0.4706
7.177,TRADITIONAL,29.86,2413.04,268.78,507.69,0.4706
9.891,TRADITIONAL,6.63,551.53,59.68,112.74,0.4706
10.897,TRADITIONAL,29.82,2415.11,268.35,506.87,0.4706
11.905,TRADITIONAL,29.78,2403.50,268.05,506.31,0.4706
12.911,TRADITIONAL,29.83,2333.45,268.44,507.06,0.4706
13.915,TRADITIONAL,29.87,2399.46,268.82,507.77,0.4706
14.923,TRADITIONAL,29.77,2384.39,267.91,506.05,0.4706
15.931,TRADITIONAL,29.74,2403.26,267.69,505.64,0.4706
16.937,TRADITIONAL,29.85,2501.09,268.61,507.38,0.4706
17.942,TRADITIONAL,29.85,2417.81,268.65,507.44,0.4706
37.765,TRADITIONAL,0.61,47.22,5.45,10.29,0.4706
38.773,TRADITIONAL,29.78,2412.28,268.03,506.28,0.4706
39.777,TRADITIONAL,29.86,2409.83,268.75,507.65,0.4706
40.784,DIRECTION_ONLY,29.80,2331.62,268.23,506.66,0.4706
41.792,DIRECTION_ONLY,29.76,2390.57,267.82,505.89,0.4706
42.796,DIRECTION_ONLY,29.87,2392.49,268.82,507.77,0.4706
43.804,DIRECTION_ONLY,29.77,2405.36,267.92,506.08,0.4706
44.810,DIRECTION_ONLY,29.82,2499.16,268.41,506.99,0.4706
45.816,DIRECTION_ONLY,29.83,2416.18,268.46,507.10,0.4706
46.824,DIRECTION_DISTANCE,29.74,2337.75,267.68,505.62,0.4706
47.830,DIRECTION_DISTANCE,29.85,2427.48,268.61,507.38,0.4706
48.837,DIRECTION_DISTANCE,29.78,2417.09,268.01,506.25,0.4706
49.842,DIRECTION_DISTANCE,29.85,2417.80,268.64,507.44,0.4706
50.848,DIRECTION_DISTANCE,29.83,2371.34,268.45,507.08,0.4706
51.855,DIRECTION_DISTANCE,29.78,2357.93,268.06,506.33,0.4706
52.863,DIRECTION_DISTANCE,29.75,2389.96,267.75,505.76,0.4706
53.869,DIRECTION_DISTANCE,29.84,2386.01,268.54,507.24,0.4706
54.876,DIRECTION_DISTANCE,29.79,2466.49,268.10,506.41,0.4706
55.883,DIRECTION_DISTANCE,29.79,2462.89,268.14,506.48,0.4706
56.889,DIRECTION_DISTANCE,29.82,2374.03,268.42,507.02,0.4706
57.893,DIRECTION_DISTANCE,29.88,2390.11,268.89,507.90,0.4706
58.898,DIRECTION_DISTANCE,29.86,2428.54,268.73,507.60,0.4706
59.905,DIRECTION_DISTANCE_SPEAKING,29.79,2412.71,268.08,506.37,0.4706
60.909,DIRECTION_DISTANCE_SPEAKING,29.87,2419.20,268.80,507.73,0.4706
61.916,DIRECTION_DISTANCE_SPEAKING,29.80,2324.02,268.16,506.52,0.4706
62.922,DIRECTION_DISTANCE_SPEAKING,29.84,2397.21,268.57,507.29,0.4706
63.927,DIRECTION_DISTANCE_SPEAKING,29.85,2397.67,268.62,507.39,0.4706
64.931,DIRECTION_DISTANCE_SPEAKING,29.86,2400.44,268.71,507.56,0.4706
65.938,DIRECTION_DISTANCE_SPEAKING,29.81,2492.09,268.29,506.76,0.4706
66.945,DIRECTION_DISTANCE_SPEAKING,29.77,2421.53,267.96,506.14,0.4706
67.950,DIRECTION_ONLY,29.87,2363.52,268.81,507.75,0.4706
68.955,FULL_SCENE_TOKEN,29.84,2417.04,268.56,507.28,0.4706
69.960,FULL_SCENE_TOKEN,29.87,2401.21,268.79,507.72,0.4706
70.965,FULL_SCENE_TOKEN,29.85,2342.46,268.68,507.50,0.4706
71.971,FULL_SCENE_TOKEN,29.81,2394.93,268.31,506.81,0.4706
72.975,FULL_SCENE_TOKEN,29.88,2379.27,268.90,507.92,0.4706
73.982,FULL_SCENE_TOKEN,29.80,2437.87,268.23,506.65,0.4706
74.988,FULL_SCENE_TOKEN,29.80,2493.43,268.22,506.63,0.4706
75.994,FULL_SCENE_TOKEN,29.84,2398.97,268.54,507.24,0.4706
77.001,FULL_SCENE_TOKEN,29.80,2354.09,268.19,506.58,0.4706
78.009,FULL_SCENE_TOKEN,29.74,2419.00,267.68,505.61,0.4706
79.015,FULL_SCENE_TOKEN,29.83,2419.25,268.47,507.12,0.4706
80.022,FULL_SCENE_TOKEN,29.79,2413.26,268.14,506.49,0.4706
81.027,FULL_SCENE_TOKEN,29.83,2353.87,268.50,507.17,0.4706
82.034,FULL_SCENE_TOKEN,29.79,2372.40,268.12,506.46,0.4706
83.040,FULL_SCENE_TOKEN,29.83,2396.27,268.46,507.09,0.4706
84.045,FULL_SCENE_TOKEN,29.85,2384.97,268.65,507.44,0.4706
85.051,FULL_SCENE_TOKEN,29.82,2474.93,268.37,506.91,0.4706
86.057,FULL_SCENE_TOKEN,29.84,2456.73,268.55,507.26,0.4706
87.064,FULL_SCENE_TOKEN,29.77,2362.12,267.97,506.17,0.4706
88.071,FULL_SCENE_TOKEN,29.80,2393.75,268.18,506.56,0.4706
89.077,FULL_SCENE_TOKEN,29.82,2422.99,268.34,506.86,0.4706
95.317,TRADITIONAL,2.40,194.72,21.64,40.87,0.4706
96.323,TRADITIONAL,29.82,2415.68,268.41,506.99,0.4706
97.329,TRADITIONAL,29.81,2405.88,268.31,506.81,0.4706
98.335,TRADITIONAL,29.83,2333.72,268.47,507.11,0.4706
99.341,TRADITIONAL,29.82,2395.18,268.34,506.86,0.4706
100.347,TRADITIONAL,29.83,2389.58,268.49,507.15,0.4706
101.354,TRADITIONAL,29.79,2407.21,268.13,506.47,0.4706
102.361,TRADITIONAL,29.78,2495.46,268.01,506.24,0.4706
103.369,TRADITIONAL,29.77,2411.53,267.95,506.12,0.4706
104.374,TRADITIONAL,29.83,2344.71,268.48,507.13,0.4706
105.380,TRADITIONAL,29.84,2426.67,268.53,507.21,0.4706
106.389,TRADITIONAL,29.74,2413.49,267.62,505.50,0.4706
107.394,TRADITIONAL,29.84,2416.76,268.53,507.22,0.4706
108.400,TRADITIONAL,29.82,2361.91,268.40,506.98,0.4706
109.408,TRADITIONAL,29.76,2363.09,267.86,505.95,0.4706
110.414,TRADITIONAL,29.83,2396.42,268.48,507.13,0.4706
111.420,TRADITIONAL,29.81,2376.50,268.25,506.69,0.4706
112.431,TRADITIONAL,29.69,2458.49,267.23,504.76,0.4706
113.436,TRADITIONAL,29.84,2466.75,268.56,507.28,0.4706
114.442,TRADITIONAL,29.82,2373.73,268.39,506.95,0.4706
115.449,TRADITIONAL,29.80,2384.16,268.22,506.63,0.4706
116.455,TRADITIONAL,29.82,2425.27,268.37,506.92,0.4706
117.460,TRADITIONAL,29.86,2418.76,268.75,507.64,0.4706
118.467,TRADITIONAL,29.79,2413.14,268.13,506.46,0.4706
119.473,TRADITIONAL,29.80,2324.71,268.24,506.67,0.4706
120.480,TRADITIONAL,29.80,2394.29,268.24,506.68,0.4706
121.486,TRADITIONAL,29.80,2393.93,268.20,506.60,0.4706
122.495,TRADITIONAL,29.75,2391.78,267.74,505.72,0.4706
123.502,TRADITIONAL,29.80,2496.89,268.16,506.53,0.4706
124.507,TRADITIONAL,29.84,2416.69,268.52,507.21,0.4706
125.515,DIRECTION_ONLY,29.78,2357.71,268.03,506.29,0.4706
126.522,DIRECTION_ONLY,29.78,2411.84,267.98,506.19,0.4706
127.529,DIRECTION_ONLY,29.80,2386.79,268.18,506.56,0.4706
128.536,DIRECTION_ONLY,29.80,2345.43,268.22,506.64,0.4706
129.541,DIRECTION_ONLY,29.84,2396.76,268.52,507.20,0.4706
130.548,DIRECTION_ONLY,29.79,2372.60,268.15,506.50,0.4706
131.554,DIRECTION_ONLY,29.82,2439.22,268.37,506.93,0.4706
132.559,DIRECTION_ONLY,29.86,2497.99,268.71,507.56,0.4706
133.565,DIRECTION_ONLY,29.81,2396.75,268.29,506.78,0.4706
134.570,DIRECTION_ONLY,29.85,2358.09,268.64,507.44,0.4706
135.575,DIRECTION_ONLY,29.86,2428.37,268.71,507.57,0.4706
