timestamp,condition,tokensPerSecond,jsonBytesPerSecond,compactBytesPerSecond,objectMetadataBytesPerSecond,compactSavingsRatio,generatedTokensPerSecond,selectedTokensPerSecond,selectedJsonBytesPerSecond,selectedCompactBytesPerSecond,tokenDropRatio,importantTokenSendRatio,selectionSavingsRatio
3.218,TRADITIONAL,0.62,68.16,7.46,10.57,0.2941,0.62,0.62,68.16,7.46,0.0000,1.0000,0.0000
4.227,TRADITIONAL,29.74,3261.67,356.90,505.61,0.2941,29.74,29.74,3261.67,356.90,0.0000,1.0000,0.0000
5.232,TRADITIONAL,29.85,3256.15,358.15,507.37,0.2941,29.85,29.85,3256.15,358.15,0.0000,1.0000,0.0000
6.238,TRADITIONAL,29.83,3114.24,357.96,507.11,0.2941,29.83,29.83,3114.24,357.96,0.0000,1.0000,0.0000
7.247,TRADITIONAL,29.74,3212.41,356.93,505.66,0.2941,29.74,29.74,3212.41,356.93,0.0000,1.0000,0.0000
8.255,TRADITIONAL,29.73,3199.44,356.81,505.49,0.2941,29.73,29.73,3199.44,356.81,0.0000,1.0000,0.0000
9.263,TRADITIONAL,29.79,3230.26,357.48,506.43,0.2941,29.79,29.79,3230.26,357.48,0.0000,1.0000,0.0000
10.270,TRADITIONAL,29.77,3428.02,357.29,506.16,0.2941,29.77,29.77,3428.02,357.29,0.0000,1.0000,0.0000
11.276,TRADITIONAL,29.81,3296.30,357.75,506.82,0.2941,29.81,29.81,3296.30,357.75,0.0000,1.0000,0.0000
12.284,TRADITIONAL,29.79,3131.44,357.43,506.35,0.2941,29.79,29.79,3131.44,357.43,0.0000,1.0000,0.0000
13.289,TRADITIONAL,29.85,3263.56,358.20,507.44,0.2941,29.85,29.85,3263.56,358.20,0.0000,1.0000,0.0000
14.296,TRADITIONAL,29.79,3261.70,357.45,506.38,0.2941,29.79,29.79,3261.70,357.45,0.0000,1.0000,0.0000
15.303,TRADITIONAL,29.79,3267.48,357.54,506.51,0.2941,29.79,29.79,3267.48,357.54,0.0000,1.0000,0.0000
16.311,TRADITIONAL,29.74,3160.52,356.90,505.60,0.2941,29.74,29.74,3160.52,356.90,0.0000,1.0000,0.0000
17.318,TRADITIONAL,29.81,3171.96,357.74,506.80,0.2941,29.81,29.81,3171.96,357.74,0.0000,1.0000,0.0000
18.325,TRADITIONAL,29.77,3215.41,357.27,506.13,0.2941,29.77,29.77,3215.41,357.27,0.0000,1.0000,0.0000
19.334,TRADITIONAL,29.75,3179.05,356.97,505.71,0.2941,29.75,29.75,3179.05,356.97,0.0000,1.0000,0.0000
20.341,TRADITIONAL,29.79,3350.30,357.47,506.42,0.2941,29.79,29.79,3350.30,357.47,0.0000,1.0000,0.0000
21.349,TRADITIONAL,29.75,3373.88,357.02,505.78,0.2941,29.75,29.75,3373.88,357.02,0.0000,1.0000,0.0000
22.357,TRADITIONAL,29.77,3202.74,357.18,506.01,0.2941,29.77,29.77,3202.74,357.18,0.0000,1.0000,0.0000
23.363,TRADITIONAL,29.83,3197.62,357.94,507.08,0.2941,29.83,29.83,3197.62,357.94,0.0000,1.0000,0.0000
24.369,TRADITIONAL,29.81,3259.04,357.70,506.74,0.2941,29.81,29.81,3259.04,357.70,0.0000,1.0000,0.0000
25.378,TRADITIONAL,29.74,3261.44,356.87,505.57,0.2941,29.74,29.74,3261.44,356.87,0.0000,1.0000,0.0000
26.385,TRADITIONAL,29.78,3266.03,357.38,506.28,0.2941,29.78,29.78,3266.03,357.38,0.0000,1.0000,0.0000
27.393,TRADITIONAL,29.78,3097.07,357.35,506.25,0.2941,29.78,29.78,3097.07,357.35,0.0000,1.0000,0.0000
28.400,TRADITIONAL,29.77,3215.67,357.30,506.17,0.2941,29.77,29.77,3215.67,357.30,0.0000,1.0000,0.0000
29.408,TRADITIONAL,29.78,3216.73,357.41,506.34,0.2941,29.78,29.78,3216.73,357.41,0.0000,1.0000,0.0000
30.415,TRADITIONAL,29.78,3229.61,357.41,506.33,0.2941,29.78,29.78,3229.61,357.41,0.0000,1.0000,0.0000
31.421,TRADITIONAL,29.80,3431.42,357.65,506.67,0.2941,29.80,29.80,3431.42,357.65,0.0000,1.0000,0.0000
32.427,TRADITIONAL,29.83,3298.20,357.96,507.11,0.2941,29.83,29.83,3298.20,357.96,0.0000,1.0000,0.0000
33.433,DIRECTION_DISTANCE,29.82,3170.30,357.89,507.01,0.2941,29.82,29.82,3170.30,357.89,0.0000,1.0000,0.0000
34.438,DIRECTION_DISTANCE,29.86,3274.37,358.29,507.58,0.2941,29.86,29.86,3274.37,358.29,0.0000,1.0000,0.0000
35.446,DIRECTION_DISTANCE,29.76,3213.54,357.17,505.99,0.2941,29.76,29.76,3213.54,357.17,0.0000,1.0000,0.0000
36.453,DIRECTION_DISTANCE,29.79,3134.11,357.50,506.46,0.2941,29.79,29.79,3134.11,357.50,0.0000,1.0000,0.0000
37.460,DIRECTION_DISTANCE,29.79,3216.84,357.43,506.36,0.2941,29.79,29.79,3216.84,357.43,0.0000,1.0000,0.0000
38.466,DIRECTION_DISTANCE,29.81,3183.27,357.67,506.70,0.2941,29.81,29.81,3183.27,357.67,0.0000,1.0000,0.0000
39.475,DIRECTION_DISTANCE,29.74,3277.87,356.83,505.51,0.2941,29.74,29.74,3277.87,356.83,0.0000,1.0000,0.0000
40.482,DIRECTION_DISTANCE,29.81,3431.26,357.73,506.79,0.2941,29.81,29.81,3431.26,357.73,0.0000,1.0000,0.0000
41.487,DIRECTION_DISTANCE,29.84,3264.31,358.06,507.25,0.2941,29.84,29.84,3264.31,358.06,0.0000,1.0000,0.0000
42.493,DIRECTION_DISTANCE,29.81,3147.68,357.69,506.73,0.2941,29.81,29.81,3147.68,357.69,0.0000,1.0000,0.0000
43.503,DIRECTION_DISTANCE,29.73,3250.60,356.77,505.43,0.2941,29.73,29.73,3250.60,356.77,0.0000,1.0000,0.0000
44.509,DIRECTION_DISTANCE,29.80,3265.49,357.64,506.66,0.2941,29.80,29.80,3265.49,357.64,0.0000,1.0000,0.0000
45.518,DIRECTION_DISTANCE,29.73,3260.09,356.73,505.36,0.2941,29.73,29.73,3260.09,356.73,0.0000,1.0000,0.0000
46.524,DIRECTION_DISTANCE,29.81,3134.52,357.78,506.85,0.2941,29.81,29.81,3134.52,357.78,0.0000,1.0000,0.0000
47.532,DIRECTION_DISTANCE,29.76,3190.76,357.17,506.00,0.2941,29.76,29.76,3190.76,357.17,0.0000,1.0000,0.0000
48.539,DIRECTION_DISTANCE,29.82,3220.05,357.78,506.86,0.2941,29.82,29.82,3220.05,357.78,0.0000,1.0000,0.0000
49.547,DIRECTION_DISTANCE,29.74,3191.61,356.83,505.50,0.2941,29.74,29.74,3191.61,356.83,0.0000,1.0000,0.0000
50.558,DIRECTION_DISTANCE,29.68,3369.75,356.17,504.57,0.2941,29.68,29.68,3369.75,356.17,0.0000,1.0000,0.0000
51.566,DIRECTION_DISTANCE,29.76,3341.20,357.13,505.94,0.2941,29.76,29.76,3341.20,357.13,0.0000,1.0000,0.0000
52.577,DIRECTION_DISTANCE,29.68,3157.84,356.15,504.54,0.2941,29.68,29.68,3157.84,356.15,0.0000,1.0000,0.0000
53.583,DIRECTION_DISTANCE,29.81,3227.54,357.73,506.79,0.2941,29.81,29.81,3227.54,357.73,0.0000,1.0000,0.0000
54.589,DIRECTION_DISTANCE,29.84,3264.14,358.04,507.23,0.2941,29.84,29.84,3264.14,358.04,0.0000,1.0000,0.0000
