timestamp,sessionId,participantId,trialIndex,trialElapsed,speakerId,azimuth,range,direction,distance,speakingState,turnState,semanticToken,urgency,targetObjectId,utteranceText,semanticConfidence,priority,selectedForTransmission,selectionReason,condition
3.218,20260706_230957,P00,1,0.019,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.218,20260706_230957,P00,1,0.019,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.218,20260706_230957,P00,1,0.019,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.319,20260706_230957,P00,1,0.119,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.319,20260706_230957,P00,1,0.119,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.319,20260706_230957,P00,1,0.119,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.420,20260706_230957,P00,1,0.220,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.420,20260706_230957,P00,1,0.220,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.420,20260706_230957,P00,1,0.220,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.521,20260706_230957,P00,1,0.321,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.521,20260706_230957,P00,1,0.321,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.521,20260706_230957,P00,1,0.321,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.622,20260706_230957,P00,1,0.422,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.622,20260706_230957,P00,1,0.422,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.622,20260706_230957,P00,1,0.422,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.723,20260706_230957,P00,1,0.523,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.723,20260706_230957,P00,1,0.523,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.723,20260706_230957,P00,1,0.523,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.823,20260706_230957,P00,1,0.624,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.823,20260706_230957,P00,1,0.624,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.823,20260706_230957,P00,1,0.624,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
3.925,20260706_230957,P00,1,0.725,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
3.925,20260706_230957,P00,1,0.725,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
3.925,20260706_230957,P00,1,0.725,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.025,20260706_230957,P00,1,0.826,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.025,20260706_230957,P00,1,0.826,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.025,20260706_230957,P00,1,0.826,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.126,20260706_230957,P00,1,0.927,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.126,20260706_230957,P00,1,0.927,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.126,20260706_230957,P00,1,0.927,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.227,20260706_230957,P00,1,1.028,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.227,20260706_230957,P00,1,1.028,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.227,20260706_230957,P00,1,1.028,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.327,20260706_230957,P00,1,1.128,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.327,20260706_230957,P00,1,1.128,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.327,20260706_230957,P00,1,1.128,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.428,20260706_230957,P00,1,1.229,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.428,20260706_230957,P00,1,1.229,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.428,20260706_230957,P00,1,1.229,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.529,20260706_230957,P00,1,1.329,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.529,20260706_230957,P00,1,1.329,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.529,20260706_230957,P00,1,1.329,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.629,20260706_230957,P00,1,1.429,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.629,20260706_230957,P00,1,1.429,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.629,20260706_230957,P00,1,1.429,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.730,20260706_230957,P00,1,1.530,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.730,20260706_230957,P00,1,1.530,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.730,20260706_230957,P00,1,1.530,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.830,20260706_230957,P00,1,1.631,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.830,20260706_230957,P00,1,1.631,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.830,20260706_230957,P00,1,1.631,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
4.931,20260706_230957,P00,1,1.732,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
4.931,20260706_230957,P00,1,1.732,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
4.931,20260706_230957,P00,1,1.732,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.031,20260706_230957,P00,1,1.832,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
5.031,20260706_230957,P00,1,1.832,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.031,20260706_230957,P00,1,1.832,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.132,20260706_230957,P00,1,1.932,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,QUESTION,MEDIUM,Pump3,Can you check this object for me?,0.95,0.70,true,selection_disabled,TRADITIONAL
5.132,20260706_230957,P00,1,1.932,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.132,20260706_230957,P00,1,1.932,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.232,20260706_230957,P00,1,2.033,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.232,20260706_230957,P00,1,2.033,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.232,20260706_230957,P00,1,2.033,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.333,20260706_230957,P00,1,2.134,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.333,20260706_230957,P00,1,2.134,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.333,20260706_230957,P00,1,2.134,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.433,20260706_230957,P00,1,2.234,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.433,20260706_230957,P00,1,2.234,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.433,20260706_230957,P00,1,2.234,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.534,20260706_230957,P00,1,2.334,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.534,20260706_230957,P00,1,2.334,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.534,20260706_230957,P00,1,2.334,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.634,20260706_230957,P00,1,2.434,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.634,20260706_230957,P00,1,2.434,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.634,20260706_230957,P00,1,2.434,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.735,20260706_230957,P00,1,2.535,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.735,20260706_230957,P00,1,2.535,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.735,20260706_230957,P00,1,2.535,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.835,20260706_230957,P00,1,2.636,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.835,20260706_230957,P00,1,2.636,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.835,20260706_230957,P00,1,2.636,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
5.936,20260706_230957,P00,1,2.737,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
5.936,20260706_230957,P00,1,2.737,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
5.936,20260706_230957,P00,1,2.737,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.036,20260706_230957,P00,1,2.837,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
6.036,20260706_230957,P00,1,2.837,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
6.036,20260706_230957,P00,1,2.837,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.137,20260706_230957,P00,1,2.938,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
6.137,20260706_230957,P00,1,2.938,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.30,true,selection_disabled,TRADITIONAL
6.137,20260706_230957,P00,1,2.938,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.238,20260706_230957,P00,1,3.039,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
6.238,20260706_230957,P00,1,3.039,B,19.65,4.46,FRONT,FAR,SPEAKING,TURN_HOLDER,ANSWER,LOW,Pump3,"Yes, that part looks aligned.",0.95,0.55,true,selection_disabled,TRADITIONAL
6.238,20260706_230957,P00,1,3.039,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.40,true,selection_disabled,TRADITIONAL
6.339,20260706_230957,P00,1,3.139,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,LOW,,,0.00,0.45,true,selection_disabled,TRADITIONAL
