condition,speakerId,rows,speakingPct,semanticPct,topDirection,topDistance,topTurn,topSemantic
DIRECTION_DISTANCE,A,434,36.87,36.87,FRONT(434),FAR(434),LISTENER(274),NONE(274)
DIRECTION_DISTANCE,B,434,32.95,32.95,FRONT(434),FAR(434),LISTENER(291),NONE(291)
DIRECTION_DISTANCE,C,434,18.43,18.43,FRONT(434),FAR(434),LISTENER(354),NONE(354)
DIRECTION_DISTANCE_SPEAKING,A,112,44.64,44.64,FRONT(112),FAR(112),LISTENER(62),NONE(62)
DIRECTION_DISTANCE_SPEAKING,B,112,19.64,19.64,FRONT(112),FAR(112),LISTENER(90),NONE(90)
DIRECTION_DISTANCE_SPEAKING,C,112,17.86,17.86,FRONT(112),FAR(112),LISTENER(92),NONE(92)
DIRECTION_ONLY,A,364,39.01,39.01,FRONT(364),FAR(364),LISTENER(222),NONE(222)
DIRECTION_ONLY,B,364,30.77,30.77,FRONT(364),FAR(364),LISTENER(252),NONE(252)
DIRECTION_ONLY,C,364,21.70,21.70,FRONT(364),FAR(364),LISTENER(285),NONE(285)
FULL_SCENE_TOKEN,A,206,34.95,34.95,FRONT(206),FAR(206),LISTENER(134),NONE(134)
FULL_SCENE_TOKEN,B,206,33.98,33.98,FRONT(206),FAR(206),LISTENER(136),NONE(136)
FULL_SCENE_TOKEN,C,206,19.42,19.42,FRONT(206),FAR(206),LISTENER(166),NONE(166)
TRADITIONAL,A,475,42.32,42.32,FRONT(475),FAR(475),LISTENER(274),NONE(274)
TRADITIONAL,B,475,27.79,27.79,FRONT(475),FAR(475),LISTENER(343),NONE(343)
TRADITIONAL,C,475,17.47,17.47,FRONT(475),FAR(475),LISTENER(392),NONE(392)
