condition,speakerId,rows,speakingPct,semanticPct,topDirection,topDistance,topTurn,topSemantic
DIRECTION_DISTANCE,A,434,36.87,36.87,FRONT(434),FAR(434),LISTENER(274),NONE(274)
DIRECTION_DISTANCE,B,434,32.95,32.95,FRONT(434),FAR(434),LISTENER(291),NONE(291)
DIRECTION_DISTANCE,C,434,18.43,18.43,FRONT(434),FAR(434),LISTENER(354),NONE(354)
DIRECTION_DISTANCE_SPEAKING,A,112,44.64,44.64,FRONT(112),FAR(112),LISTENER(62),NONE(62)
DIRECTION_DISTANCE_SPEAKING,B,112,19.64,19.64,FRONT(112),FAR(112),LISTENER(90),NONE(90)
DIRECTION_DISTANCE_SPEAKING,C,112,17.86,17.86,FRONT(112),FAR(112),LISTENER(92),NONE(92)
DIRECTION_ONLY,A,428,42.29,42.29,FRONT(428),FAR(428),LISTENER(247),NONE(247)
DIRECTION_ONLY,B,427,26.93,26.93,FRONT(427),FAR(427),LISTENER(312),NONE(312)
DIRECTION_ONLY,C,427,18.50,18.50,FRONT(427),FAR(427),LISTENER(348),NONE(348)
FULL_SCENE_TOKEN,A,206,34.95,34.95,FRONT(206),FAR(206),LISTENER(134),NONE(134)
FULL_SCENE_TOKEN,B,206,33.98,33.98,FRONT(206),FAR(206),LISTENER(136),NONE(136)
FULL_SCENE_TOKEN,C,206,19.42,19.42,FRONT(206),FAR(206),LISTENER(166),NONE(166)
TRADITIONAL,A,8390,15.03,15.03,FRONT(8390),FAR(8390),LISTENER(7129),NONE(7129)
TRADITIONAL,B,8390,11.05,11.05,FRONT(8390),FAR(8390),LISTENER(7463),NONE(7463)
TRADITIONAL,C,8390,6.33,6.33,FRONT(8390),FAR(8390),LISTENER(7859),NONE(7859)
